ID,Name,First Air Date,Overview,Popularity,Vote Average,Vote Count,Poster_URL,Backdrop_URL
235916,Omoikkiri Detective Team Hardgumi,1987-01-11,"The seventh entry in the Toei Fushigi Comedy Series.  Hiroshi, Satoru, Susumu, Takeo, and Yasuko are five unique children who have different talents, such as being skilled at computers, being an expert at throwing stars, and excelling in studies and sports. The leader of this group, Hiroshi, creates a fictional character, the phantom Matenrou on his computer. When the five children shoot a video about this phantom and play it in their school, a small problem emerges. That evening, when Hiroshi finds that his precious computer is gone, Matenro, who is real appears before him and his friends said “If you want your computer back, accept my challenge,” Accepting the challenge, the children decides to form their own detective squad, “Hard Gumi"" to catch Matenro.",1.2736,6.0,0,https://image.tmdb.org/t/p/w500/lXFBI7n0mT3w5wIetLh3VksYd4g.jpg,
53129,Hikari Sentai Maskman,1987-02-28,"Commander Sugata discovered the existence of the Royal Underground Empire Tube, a malignant force that desires to dominate the land, which is based underneath Japan.  He recruits five young people, each one specializing in a style of martial arts, and teaches them in the ways of the mystical ""Aura Power"" energy.  A year after he recruited and trained the Maskmen, Tube is ready to strike.",3.0213,8.3,6,https://image.tmdb.org/t/p/w500/dupV2Bm1W20yypWsMoEAx6AohSR.jpg,https://image.tmdb.org/t/p/w780/zUic1DvfcaZhu7O92H7VswOwZ8o.jpg
6243,Super Android Metalder,1987-03-16,"Choujinki Metalder is the sixth and shortest entry of the Metal Hero Series, running from March 16, 1987, to January 17, 1988, for only 39 episodes. It was the first series to air on Sundays instead of Mondays. Metalder bears many similarities to Toei's earlier program Android Kikaider, particularly in its themes, characters, and the hero's costume design. The action footage of Metalder was adaptated for the first two seasons of VR Troopers. On February 21, 2007, Toei released the complete Metalder TV series and film on a seven-disc DVD set.  For distribution purposes, Toei refers to this television series as Metalder.",1.7248,8.6,7,https://image.tmdb.org/t/p/w500/3KaowKMVkclnnTbCxnhUYOvGJxQ.jpg,https://image.tmdb.org/t/p/w780/c7FXKkvTrYzhZz19rXafZw2gzAC.jpg
263079,Kamen Rider Black,1987-10-04,"Desperate and terrified, Kotaro Minami escaped the clutches of the ancient secret society, Gorgom—but in doing so, left behind his best friend and adoptive brother, Nobuhiko Akizuki. Both have been transformed into beings of immense power in order to serve Gorgom's dark purposes. If left unchecked, Gorgom will destroy humanity and eliminate all traces of its civilization and culture.  Now the powerful cyborg known as Kamen Rider Black, Kotaro will use the powers Gorgom gave him to preserve justice and freedom, as well as to save his brother. But Gorgom has their own plans for Nobuhiko—and if Kotaro can't save him, he may have to fight him!",1.484,8.5,4,https://image.tmdb.org/t/p/w500/a9cZ345kSfpRg2jeZlZ0BQq2wJO.jpg,https://image.tmdb.org/t/p/w780/mxeDQy9kAfY2cU89qSWct8Teslc.jpg
237396,German Detective Team Maringumi,1988-01-10,The eighth entry in the Toei Fushigi Comedy Series.,0.6004,6.0,1,https://image.tmdb.org/t/p/w500/96RrEoNJfG5UeEMmtrXorvEKlPQ.jpg,
6504,Ninja Olympiad,1988-01-24,"The Sorcerers Clan, led by the centuries-old Org Ninja Dokusai, has made its move to retrieve the treasured map of Pako that has been in possession by the Yamaji family for generations. Tetsuzan Yamaji, the 34th grandmaster of the Togakure Ryu Ninpo, entrust his son and daughter, Toha and Mei, to protect the Pako from the forces of the Sorcerers Clan. By donning the Jiraiya Suit inherited from his father, Toha becomes Jiraya, Master of the Togakure School, who must face against the evil Sorcerers Clan, as well as numerous ninjas from different parts of the world.",1.6997,7.6,23,https://image.tmdb.org/t/p/w500/iAML9dZEHkfVky1IPgsgOlwP5me.jpg,https://image.tmdb.org/t/p/w780/kbcm5UNsvsuvGQdKWkWwkd66nrF.jpg
5665,Choujuu Sentai Liveman,1988-02-27,"Yusuke, Jo, Megumi, Kenji, Gou and Rui are students at Academia but the latter three decide to turn bad and join forces with the evil army Volt. When the defectors return, their three friends are forced to combat them as Choujuu Sentai Liveman. With the help of an android ally named Colon and a few others along the way, the Liveman must save the world and their friends.",2.0236,8.2,166,https://image.tmdb.org/t/p/w500/hbMV06yJ6nHWj0LweEQCDXWhXcq.jpg,https://image.tmdb.org/t/p/w780/lFSoJkiH2QTJDRYeodpg2kJXvNA.jpg
274922,Kamen Rider Black RX,1988-10-23,"Following the fall of Gorgom, Kotaro Minami tries to live a normal life with the Sahara family. However, this brief moment of peace is soon shattered by the arrival of the Crisis Empire—an evil alien menace that aims to eradicate humanity and claim dominion over Earth. After refusing to aid them in their nefarious goals, Kotaro is thrown hurtling back towards the planet with his transformation belt shattered. However, when he awakens, Kotaro discovers that the sun’s rays have blessed him with new power—the power of Kamen Rider Black RX!",0.9285,10.0,2,https://image.tmdb.org/t/p/w500/xsbW2qdfZuaiTIwm0zxDpSXwOGc.jpg,https://image.tmdb.org/t/p/w780/bbDhCf7tthwZqzXXJwGMPNYZP5F.jpg
237397,Magical Chinese Girl Pai Pai!,1989-01-15,"The ninth entry in the Toei Fushigi Comedy Series. In a hidden realm ruled by a whimsical prince, a heroine's quest to rescue her ramen-transformed lover leads her to a quirky family in Tokyo, sparking magical mayhem and comedic chaos.",0.8565,6.0,1,https://image.tmdb.org/t/p/w500/xyIFaXyQaHSk7JRyAITeThvzzsW.jpg,
530,Mobile Cop Jiban,1989-01-29,Naoto detective Jiban fights for justice against Bioron and his evil plans to conquer the world.,3.2496,7.9,215,https://image.tmdb.org/t/p/w500/1c2dJkUI3KV1Vk59KJDvjpcHXpu.jpg,https://image.tmdb.org/t/p/w780/99U7I4MHr8IPb75vzuu9fVuP2DG.jpg
3622,Kousoku Sentai Turboranger,1989-02-25,"Five high school students transform into Turborangers to defend the Earth from the Boma Hundred Tribes, who awoke from a 20,000 year-long sleep. They engage in battle using weapons developed by Doctor Dazai.",1.8854,10.0,4,https://image.tmdb.org/t/p/w500/72v6v7QxHE4wTlUkaxlLrYNTgcC.jpg,https://image.tmdb.org/t/p/w780/lyZ2r5mCm1leDOFkMs2wknUDGlH.jpg
237398,Magical Chinese Girl Ipanema!,1989-07-23,The tenth entry in the Toei Fushigi Comedy Series.,0.8063,6.0,1,https://image.tmdb.org/t/p/w500/hcWxofjgUWAa7tlgIfcvRUJeu8s.jpg,
